LangID,CountryID,LangStatus,Name_lang,Name_country,Area,Print_Name,language (local),SIL code,Eth_Language Status,end_class,L1,L2,wikiname,articles,adjusted WP size,WP size in chars,WP_incubator_new,avg good page length,real/ total ratio,MS-if-pack,MS-pack,MAC-input,MAC-supp,hunspell status,hunspell coverage,cru1_ISO-639-3,cru1_Characters,cru2_Characters,cru1_Words,cru2_Words,cru1_Docs,cru2_Docs,cru1_UDHR,cru2_UDHR,cru1_FLOSS SplChk,cru2_FLOSS SplChk,cru1_WT,cru2_WT,TLDs(%),la_Primary texts_Online
bos,BA,L,Bosnian,Bosnia and Herzegovina,Europe,Bosnian,Bosanski,bos,3.0,0,2216000,0,bs,32344,45302274.0,51620239,0,2811.0,0.4,1.0,0,0,0,see sr,0.74,bos,68229181,106764818,9704327,15377476,4600,7958,1,1,0,1,0,0,59.40 o 17.59 c 3.35 ba,0
bul,BG,L,Bulgarian,Bulgaria,Europe,Bulgarian,Български,bul,1.0,0,6795150,0,bg,131552,180236237.0,227926871,0,3232.0,0.4,0.0,1,1,0,aff-dic,0.77,bul,28332349,338188624,4252014,51320853,2049,17564,1,1,1,1,1,1,30.32 o 27.59 c 11.27 bg,17
bre,FR,L,Breton,France,Europe,Breton,Brezhoneg,bre,8.0,4,225000,0,br,42385,19713367.0,37477783,0,2924.0,0.14,0.0,0,0,0,aff-dic,0.75,bre,55221336,78040566,9339406,13037688,7480,9720,1,1,1,1,0,0,30.89 c 25.03 o 11.99 fr,421
cos,FR,L,Corsican,France,Europe,Corsican,Corsu,cos,5.0,5,31000,0,co,6249,1383737.0,2665573,0,3270.0,0.06,0.0,0,0,0,not found,0.0,cos,2130583,6966632,367707,1170858,786,272,1,1,0,0,0,0,51.28 fr 13.82 o 12.10 c,36
fra,FR,L,French,France,Europe,French,Français,fra,1.0,0,68458600,50000000,fr,1255217,2170400872.0,2927476069,0,5273.0,0.32,0.0,1,1,1,aff-dic,0.81,fra,43637350,0,7182827,0,349,0,1,1,1,1,1,1,39.46 o 19.90 c 17.30 fr,670
frp,FR,L,Arpitan,France,Europe,Francoprovençal,Arpitan,frp,8.0,7,137000,0,frp,2184,66193.0,397614,0,2644.0,0.01,0.0,0,0,0,not found,0.0,frp,180334,0,27976,0,3,0,0,0,0,0,0,0,51.15 o 15.18 c 5.61 ch,61
oci,FR,L,Occitan,France,Europe,Occitan (post 1500),Occitan,oci,4.0,6,2048310,0,oc,60823,13788406.0,31002347,0,3251.0,0.07,0.0,0,0,0,aff-dic,0.66,oci,16495076,62882048,2622166,10340915,525,3059,1,1,1,1,0,0,75.49 fr 18.62 o 2.54 c,413
pcd,FR,L,Picard,France,Europe,Picard,Picard,pcd,5.0,5,200000,0,pcd,1994,258986.0,1445739,0,7625.0,0.02,0.0,0,0,0,not found,0.0,pcd,1433269,0,233329,0,131,0,1,1,0,0,0,0,42.52 fr 38.84 o 10.51 c,83
ces,CZ,L,Czech,Czechia,Europe,Czech,Čeština,ces,1.0,0,9469340,0,cs,231914,455983146.0,452610155,0,3025.0,0.53,0.0,1,1,0,aff-dic,0.82,ces,9928571,0,1547278,0,232,0,1,1,1,1,1,1,42.75 cz 19.68 o 17.18 c,3
hrv,HR,L,Croatian,Croatia,Europe,Croatian,Hrvatski,hrv,1.0,0,5533890,0,hr,109478,197416889.0,190237823,0,3575.0,0.41,0.0,1,1,0,aff-dic,0.74,hrv,70753681,0,10445569,0,98,0,1,1,1,1,1,1,32.76 o 28.84 c 14.49 hr,25
crh,UA,L,Crimean Tatar,Ukraine,Europe,Crimean Tatar,Qırımtatarca,crh,4.0,0,475540,0,crh,1724,545206.0,804513,0,2293.0,0.12,0.0,0,0,0,fedora no,0.0,crh,2344624,0,302511,0,186,0,0,0,0,0,0,0,63.88 o 16.65 ru 7.83 ua,0
rue,UA,L,Rusyn,Ukraine,Europe,Rusyn,русиньскый язык,rue,6.0,0,623940,0,rue,3618,673496.0,1307487,0,1398.0,0.12,0.0,0,0,0,fedora no,0.0,rue,430936,0,62695,0,4,0,0,0,0,0,0,0,35.49 o 31.36 sk 12.12 info,0
ukr,UA,L,Ukrainian,Ukraine,Europe,Ukrainian,Українська,ukr,1.0,0,32000000,0,uk,385497,435572824.0,569485527,0,3726.0,0.27,0.0,1,1,0,aff-dic,0.77,ukr,23615285,294847113,3185803,38787761,1124,27508,1,1,1,1,1,1,25.25 o 20.54 fr 13.14 ua,1
csb,PL,L,Kashubian,Poland,Europe,Kashubian,Kaszëbsczi,csb,8.0,5,50000,0,csb,3061,464237.0,1073337,0,2180.0,0.07,0.0,0,0,0,aff-dic,0.33,csb,2448989,0,374388,0,501,0,0,0,1,1,0,0,52.69 o 19.89 pl 9.05 c,0
epo,PL,L,Esperanto,Poland,Europe,Esperanto,Esperanto,epo,6.0,0,0,2000000,eo,164979,159475107.0,191845697,0,2480.0,0.32,0.0,0,0,0,aff-dic,0.73,epo,22477261,0,3518802,0,1272,0,1,1,1,1,0,0,36.82 o 13.13 c 6.93 de,0
pol,PL,L,Polish,Poland,Europe,Polish,Polski,pol,1.0,0,39042570,0,pl,898700,831827590.0,1224409973,0,3061.0,0.29,0.0,1,1,1,aff-dic,0.82,pol,67650637,0,9444239,0,6515,0,1,1,1,1,1,1,33.24 o 27.47 pl 17.03 c,7
szl,PL,L,Silesian,Poland,Europe,Silesian,Ślůnski,szl,6.0,5,60000,0,szl,2030,613240.0,1524428,0,1219.0,0.24,0.0,0,0,0,not found,0.0,szl,1978497,0,271917,0,90,0,0,0,0,0,0,0,30.47 o 24.39 pl 15.03 de,0
dan,DK,L,Danish,Denmark,Europe,Danish,Dansk,dan,1.0,0,5592490,0,da,164459,173859857.0,251332582,0,3592.0,0.29,0.0,1,1,1,aff-dic,0.82,dan,31416843,0,4763501,0,1731,0,1,1,1,1,1,1,32.17 dk 28.43 o 19.54 c,18
