unit,indic_is,ind_type,geo\time	2011 	2013 	2015 
PC_IND,I_IUWIKI,IND_TOTAL,NO	70 	69 	73 
PC_IND,I_IUWIKI,IND_TOTAL,PL	27 	29 	30 
PC_IND,I_IUWIKI,IND_TOTAL,PT	32 	36 	41 
PC_IND,I_IUWIKI,IND_TOTAL,RO	15 	14 	17 
PC_IND,I_IUWIKI,IND_TOTAL,RS	: 	: 	40 
PC_IND,I_IUWIKI,IND_TOTAL,SE	58 	67 	61 
PC_IND,I_IUWIKI,IND_TOTAL,SI	34 	40 	38 
PC_IND,I_IUWIKI,IND_TOTAL,SK	30 	29 	36 
PC_IND,I_IUWIKI,IND_TOTAL,TR	: 	14 	24 
PC_IND,I_IUWIKI,IND_TOTAL,UK	41 	46 	54 
PC_IND,I_IUWIKI,M_Y16_74,AT	56 	60 	62 
PC_IND,I_IUWIKI,M_Y16_74,BE	34 	39 	44 
PC_IND,I_IUWIKI,M_Y16_74,BG	15 	12 	23 
PC_IND,I_IUWIKI,M_Y16_74,CY	31 	31 	42 
PC_IND,I_IUWIKI,M_Y16_74,CZ	20 	31 	37 
PC_IND,I_IUWIKI,M_Y16_74,DE	61 	65 	68 
PC_IND,I_IUWIKI,M_Y16_74,DK	53 	59 	63 
PC_IND,I_IUWIKI,M_Y16_74,EA	44 	51 	49 
PC_IND,I_IUWIKI,M_Y16_74,EE	42 	46 	57 
PC_IND,I_IUWIKI,M_Y16_74,EL	28 	33 	34 
PC_IND,I_IUWIKI,M_Y16_74,ES	39 	46 	53 
PC_IND,I_IUWIKI,M_Y16_74,EU27_2007	41 	46 	47 
PC_IND,I_IUWIKI,M_Y16_74,EU27_2020	40 	46 	45 
PC_IND,I_IUWIKI,M_Y16_74,EU28	40 	46 	47 
PC_IND,I_IUWIKI,M_Y16_74,FI	65 	72 	71 
PC_IND,I_IUWIKI,M_Y16_74,FR	39 	53 	30 
PC_IND,I_IUWIKI,M_Y16_74,HR	25 	39 	50 
PC_IND,I_IUWIKI,M_Y16_74,HU	29 	31 	45 
PC_IND,I_IUWIKI,M_Y16_74,IE	24 	29 	30 
PC_IND,I_IUWIKI,M_Y16_74,IS	57 	67 	: 
PC_IND,I_IUWIKI,M_Y16_74,IT	32 	38 	40 
PC_IND,I_IUWIKI,M_Y16_74,LT	23 	29 	32 
PC_IND,I_IUWIKI,M_Y16_74,LU	70 	78 	82 
