BSL,PER,M,TOTAL,SE	5142438 	5192938 	5607424 	5916120 	6207070 	6435741 	6612158 	6745343 	6821854 	6871167 
BSL,PER,M,TOTAL,SI	1038656 	1050787 	1072272 	1065412 	1051468 	1028675 	1004403 	986385 	977628 	973700 
BSL,PER,M,TOTAL,SK	2661077 	2665660 	2665054 	2607984 	2535584 	2445416 	2335572 	2241747 	2188432 	2166988 
BSL,PER,T,TOTAL,AT	8858775 	8904262 	9149001 	9292363 	9345829 	9293065 	9247303 	9233330 	9219300 	9236567 
BSL,PER,T,TOTAL,BE	11455519 	11507338 	11757990 	11894881 	11926987 	11865788 	11833541 	11836508 	11836801 	11854389 
BSL,PER,T,TOTAL,BG	7000039 	6949549 	6450296 	6016719 	5655026 	5332585 	5045851 	4841511 	4748136 	4737768 
BSL,PER,T,TOTAL,CH	8544527 	8580270 	9076646 	9542915 	9959383 	10319020 	10689572 	11099320 	11542881 	12042334 
BSL,PER,T,TOTAL,CY	875899 	887331 	962854 	1012858 	1046219 	1074126 	1098070 	1110467 	1114031 	1118198 
BSL,PER,T,TOTAL,CZ	10649800 	10693861 	10762174 	10625402 	10530251 	10414088 	10213463 	10096616 	10115533 	10207345 
BSL,PER,T,TOTAL,DE	83019213 	83135181 	83453697 	83178426 	82669724 	81842817 	81695911 	82024654 	82460551 	83201514 
BSL,PER,T,TOTAL,DK	5806081 	5811651 	5963578 	6055503 	6098190 	6122611 	6153605 	6197237 	6221306 	6247128 
BSL,PER,T,TOTAL,EA19	341902187 	342842872 	346572956 	347072411 	344415478 	338523647 	333325172 	330669667 	329523283 	329296447 
BSL,PER,T,TOTAL,EE	1324820 	1329916 	1308435 	1281555 	1256223 	1224839 	1193810 	1166985 	1149320 	1145053 
BSL,PER,T,TOTAL,EL	10724599 	10696535 	10303200 	9910798 	9503127 	9038456 	8603587 	8323658 	8198911 	8142699 
BSL,PER,T,TOTAL,ES	46937060 	47321434 	48746399 	49377094 	49348530 	48385094 	47104113 	46298547 	46026075 	45789061 
BSL,PER,T,TOTAL,EU27_2020	446824564 	447671046 	449121599 	446754877 	441220961 	432474413 	424343512 	419259692 	416706966 	416074441 
BSL,PER,T,TOTAL,FI	5517919 	5527189 	5519298 	5426143 	5290709 	5150584 	5037579 	4921741 	4803256 	4715868 
BSL,PER,T,TOTAL,FR	67012883 	67197367 	68749400 	69802409 	70010903 	69680713 	69429375 	69424614 	69501144 	69651714 
BSL,PER,T,TOTAL,HR	4076246 	4056285 	3828089 	3612487 	3392559 	3195202 	3034601 	2906946 	2820808 	2775929 
BSL,PER,T,TOTAL,HU	9772756 	9771975 	9619020 	9441139 	9270352 	9117095 	8926914 	8788851 	8724890 	8714260 
BSL,PER,T,TOTAL,IE	4904240 	4966879 	5504390 	5904540 	6213191 	6398732 	6496490 	6553563 	6598023 	6610753 
BSL,PER,T,TOTAL,IS	356991 	365042 	416990 	455871 	489302 	519819 	548624 	574279 	598061 	623468 
BSL,PER,T,TOTAL,IT	60359546 	60286529 	59942512 	59375006 	58125032 	55989561 	53951155 	52793198 	52042682 	51415877 
BSL,PER,T,TOTAL,LI	38378 	38640 	41016 	42531 	43513 	44184 	45020 	46177 	47576 	49376 
