LangID,CountryID,LangStatus,Name_lang,Name_country,Area
liv,LV,L,Liv,Latvia,Europe
lsl,LV,L,Latvian Sign Language,Latvia,Europe
ltg,LV,L,Latgalian,Latvia,Europe
lvs,LV,L,"Latvian, Standard",Latvia,Europe
ltz,LU,L,Luxembourgish,Luxembourg,Europe
mdl,MT,L,Maltese Sign Language,Malta,Europe
mlt,MT,L,Maltese,Malta,Europe
mkd,MK,L,Macedonian,North Macedonia,Europe
rup,MK,L,Aromanian,North Macedonia,Europe
nrf,GG,L,Guernésiais,Guernsey,Europe
rmc,SK,L,"Romani, Carpathian",Slovakia,Europe
slk,SK,L,Slovak,Slovakia,Europe
svk,SK,L,Slovakian Sign Language,Slovakia,Europe
rmn,RS,L,"Romani, Balkan",Serbia,Europe
rsb,RS,L,Romano-Serbian,Serbia,Europe
srp,RS,L,Serbian,Serbia,Europe
rms,RO,L,Romanian Sign Language,Romania,Europe
rmy,RO,L,"Romani, Vlax",Romania,Europe
ron,RO,L,Romanian,Romania,Europe
sfb,BE,L,French Belgian Sign Language,Belgium,Europe
vgt,BE,L,Flemish Sign Language,Belgium,Europe
vls,BE,L,West Flemish,Belgium,Europe
wln,BE,L,Walloon,Belgium,Europe
slv,SI,L,Slovene,Slovenia,Europe
ysl,SI,L,Slovenian Sign Language,Slovenia,Europe
