year,country,nPopulation
2016,LV,1968957.0
2016,MC,38200.0
2016,MD,3553056.0
2016,ME,622218.0
2016,MK,2071278.0
2016,MT,450415.0
2016,NL,16979120.0
2016,NO,5210721.0
2016,PL,37967209.0
2016,PT,10341330.0
2016,RO,19760585.0
2016,RS,7076372.0
2016,RU,143666931.0
2016,SE,9851017.0
2016,SI,2064188.0
2016,SK,5426252.0
2016,SM,33005.0
2016,TR,78741053.0
2016,UA,42590879.0
2016,UK,65379044.0
2016,XK,1771604.0
2017,AD,73263.0
2017,AL,2876591.0
2017,AM,2986151.0
2017,AT,8772865.0
2017,AZ,9809981.0
2017,BA,3509728.0
2017,BE,11351727.0
2017,BG,7101859.0
2017,BY,9504704.0
2017,CH,8419550.0
2017,CY,854802.0
2017,CZ,10578820.0
2017,DE,82521653.0
2017,DK,5748769.0
2017,EE,1315635.0
2017,EL,10768193.0
2017,ES,46528024.0
2017,FI,5503297.0
2017,FR,66809816.0
2017,FX,63697865.0
2017,GE,3726374.0
2017,HR,4154213.0
2017,HU,9797561.0
2017,IE,4784383.0
2017,IS,338349.0
2017,IT,60589445.0
2017,LI,37810.0
2017,LT,2847904.0
2017,LU,590667.0
2017,LV,1950116.0
2017,MC,38250.0
2017,MD,3550852.0
2017,ME,622387.0
2017,MK,2073702.0
2017,MT,460297.0
2017,NL,17081507.0
2017,NO,5258317.0
2017,PL,37972964.0
2017,PT,10309573.0
2017,RO,19643949.0
2017,RS,7040272.0
2017,RU,143666931.0
2017,SE,9995153.0
2017,SI,2065895.0
2017,SK,5435343.0
2017,SM,33196.0
2017,TR,79814871.0
2017,UA,42414905.0
2017,UK,65844142.0
2017,XK,1783531.0
2018,AD,74794.0
2018,AL,2870324.0
2018,AM,2972732.0
2018,AT,8822267.0
2018,AZ,9898085.0
2018,BA,3500295.0
2018,BE,11398589.0
2018,BG,7050034.0
2018,BY,9491823.0
2018,CH,8484130.0
2018,CY,864236.0
2018,CZ,10610055.0
2018,DE,82792351.0
2018,DK,5781190.0
2018,EE,1319133.0
2018,EL,10741165.0
2018,ES,46658447.0
2018,FI,5513130.0
2018,FR,67026224.0
2018,FX,63697865.0
2018,GE,3729633.0
2018,HR,4105493.0
2018,HU,9778371.0
2018,IE,4830392.0
2018,IS,348450.0
2018,IT,60483973.0
2018,LI,38114.0
2018,LT,2808901.0
2018,LU,602005.0
2018,LV,1934379.0
2018,MC,38300.0
2018,MD,3547539.0
2018,ME,622359.0
2018,MK,2075301.0
2018,MT,475701.0
2018,NL,17181084.0
2018,NO,5295619.0
2018,PL,37976687.0
2018,PT,10291027.0
2018,RO,19533481.0
2018,RS,7001444.0
2018,RU,143666931.0
2018,SE,10120242.0
2018,SI,2066880.0
2018,SK,5443120.0
2018,SM,34453.0
2018,TR,80810525.0
2018,UA,42216766.0
2018,UK,66273576.0
2018,XK,1798506.0
2019,AD,76177.0
2019,AL,2862427.0
2019,AM,2965269.0
2019,AT,8858775.0
2019,AZ,9981457.0
2019,BA,3492018.0
2019,BE,11455519.0
2019,BG,7000039.0
2019,BY,9427348.0
2019,CH,8544527.0
2019,CY,875899.0
2019,CZ,10649800.0
2019,DE,83019213.0
2019,DK,5806081.0
2019,EE,1324820.0
2019,EL,10724599.0
2019,ES,46937060.0
2019,FI,5517919.0
2019,FR,67177636.0
2019,FX,63697865.0
2019,GE,3723464.0
2019,HR,4076246.0
2019,HU,9772756.0
2019,IE,4904240.0
2019,IS,356991.0
2019,IT,59816673.0
2019,LI,38378.0
2019,LT,2794184.0
2019,LU,613894.0
2019,LV,1919968.0
2019,MC,38300.0
2019,MD,3547539.0
2019,ME,622182.0
2019,MK,2077132.0
2019,MT,493559.0
2019,NL,17282163.0
2019,NO,5328212.0
2019,PL,37972812.0
2019,PT,10276617.0
2019,RO,19414458.0
2019,RS,6963764.0
2019,RU,143666931.0
2019,SE,10230185.0
2019,SI,2080908.0
2019,SK,5450421.0
2019,SM,34590.0
2019,TR,82003882.0
2019,UA,41983564.0
2019,UK,66647112.0
2019,XK,1795666.0
2020,AD,77543.0
2020,AL,2845955.0
2020,AM,2959694.0
2020,AT,8901064.0
2020,AZ,10067108.0
2020,BA,3492018.0
2020,BE,11522440.0
2020,BG,6951482.0
2020,BY,9408350.0
2020,CH,8606033.0
2020,CY,888005.0
2020,CZ,10693939.0
2020,DE,83166711.0
2020,DK,5822763.0
2020,EE,1328889.0
2020,EL,10718565.0
2020,ES,47332614.0
2020,FI,5525292.0
2020,FR,67320216.0
2020,FX,63697865.0
2020,GE,3716858.0
2020,HR,4058165.0
2020,HU,9769526.0
2020,IE,4964440.0
2020,IS,364134.0
2020,IT,59641488.0
2020,LI,38747.0
2020,LT,2794090.0
2020,LU,626108.0
2020,LV,1907675.0
2020,MC,38300.0
2020,MD,3547539.0
2020,ME,621873.0
2020,MK,2076255.0
2020,MT,514564.0
2020,NL,17407585.0
2020,NO,5367580.0
2020,PL,37958138.0
2020,PT,10295909.0
2020,RO,19328838.0
2020,RS,6926705.0
2020,RU,143666931.0
2020,SE,10327589.0
2020,SI,2095861.0
2020,SK,5457873.0
2020,SM,34735.0
2020,TR,83154997.0
2020,UA,41732779.0
2020,UK,67025542.0
2020,XK,1782115.0
2021,AD,77543.0
2021,AL,2829741.0
2021,AM,2963251.0
2021,AT,8932664.0
2021,AZ,10119133.0
2021,BA,3492018.0
2021,BE,11566041.0
2021,BG,6916548.0
2021,BY,9408350.0
2021,CH,8667088.0
2021,CY,896005.0
2021,CZ,10701777.0
2021,DE,83155031.0
2021,DK,5840045.0
2021,EE,1330068.0
2021,EL,10682547.0
2021,ES,47394223.0
2021,FI,5533793.0
2021,FR,67439599.0
2021,FX,63697865.0
2021,GE,3716858.0
2021,HR,4036355.0
2021,HU,9730772.0
2021,IE,5006907.0
2021,IS,368792.0
2021,IT,59257566.0
2021,LI,39055.0
2021,LT,2795680.0
2021,LU,634730.0
2021,LV,1893223.0
2021,MC,38300.0
2021,MD,3547539.0
2021,ME,620739.0
2021,MK,2068808.0
2021,MT,516100.0
2021,NL,17475415.0
2021,NO,5391369.0
2021,PL,37840001.0
2021,PT,10298252.0
2021,RO,19186201.0
2021,RS,6871547.0
2021,RU,143666931.0
2021,SE,10379295.0
2021,SI,2108977.0
2021,SK,5459781.0
2021,SM,34735.0
2021,TR,83614362.0
2021,UA,41418717.0
2021,UK,67025542.0
2021,XK,1782115.0
