freq,unit,sex,age,geo\TIME_PERIOD	1960 	1961 	1962 	1963 	1964 	1965 	1966 	1967 	1968 	1969 	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,NR,T,TOTAL,EFTA	9053336 	9148844 	9331154 	9493953 	9635106 	9747502 	9834737 	9937651 	10052847 	10160198 	10256893 	10307543 	10380728 	10469728 	10536393 	10594250 	10581288 	10564446 	10576794 	10601152 	10635230 	10682125 	10738279 	10794141 	10827114 	10869027 	10913300 	10970490 	11040363 	11120759 	11189203 	11291916 	11405515 	11499380 	11588759 	11665036 	11731192 	11775077 	11817765 	11876593 	11954416 	12023715 	12099819 	12188439 	12266469 	12349642.0 	12434143.0 	12532713.0 	12681480.0 	12856065.0 	12997529.0 	13145040 b	13296582 	13449030 	13610401 	13770625 	13907998 	14054026 	14166313 	14268108 	14376494 	14466304 p
A,NR,T,TOTAL,EL	8300399 	8363050 	8433050 	8463416 	8495834 	8525024 	8575642 	8651660 	8716516 	8765014 	8780514 	8805098 	8856974 	8920282 	8937890 	8986153 	9106928 	9269372 	9347586 	9512332 	9584184 	9700826 	9757874 	9821152 	9872102 	9919500 	9949100 	9985326 	10015863 	10058103 	10120892 	10272691 	10367163 	10430958 	10489871 	10535973 	10588332 	10629267 	10693250 	10747768 	10775627 	10835989 	10888274 	10915770 	10940369 	10969912.0 	11004716.0 	11036008.0 	11060937.0 	11094745.0 	11119289.0 	11123392 	11086406 	11003615 	10926807 	10858018 	10783748 	10768193 	10741165 	10724599 	10718565 	10682547 e
A,NR,T,TOTAL,ES	30327000 	30583000 	30895500 	31151231 	31442070 	31776320 	32132264 	32434123 	32931771 	33294497 	33587610 	34040642 	34408338 	34800600 	35177294 	35569375 	35946425 	36329199 	36694077 	37035719 	37346940 	37635389 	37881873 	38090151 	38252899 	38407829 	38531195 	38638052 	38731578 	38802300 	38853227 	38881416 	39051336 	39264034 	39458489 	39639726 	39808374 	39971329 	40143449 	40303568 	40470182 	40665545 	41035278 	41827838 	42547451 	43296338.0 	44009971.0 	44784666.0 	45668939.0 	46239273.0 	46486619.0 	46667174 	46818219 	46727890 	46512199 	46449565 	46440099 	46528024 	46658447 	46937060 	47332614 	47394223 p
A,NR,T,TOTAL,EU27_2007	402604332 	: 	: 	: 	: 	420454977 	: 	: 	: 	: 	435469610 	437308029 	: 	: 	: 	447565620 	449734595 	451622165 	453516363 	455279744 	457153675 	459111142 	460597191 	461763965 	462699342 	463698160 	464783282 	466100932 	467330695 	468949690 	470415155 	472060056 b	473329265 	475006017 	476247848 	477245113 	478155218 	478979775 	481340746 b	482050494 	482761345 b	483945121 	484657212 	486386194 	488250073 	490287461.0 	492124110.0 	493987245.0 	495985066.0 b	497780439.0 	498867771.0 b	498674980 b	499771980 b	500900868 	502988282 b	504294889 b	505991205 	507224359 b	508376640 p	509017310 bep	510287293 ep	: 
A,NR,T,TOTAL,EU27_2020	354531754 	: 	: 	: 	: 	370521157 	: 	: 	: 	: 	384326562 	385949080 	: 	: 	: 	395835667 	398037111 	399967581 	401903104 	403662165 	405466907 	407369042 	408894651 	410107692 	411006427 	411907502 	412876239 	414088076 	415218942 	416715205 	418030739 	419504036 be	420413536 e	421912578 e	423104986 e	423960534 e	424641798 e	425273491 e	427482962 be	427998269 e	428473834 be	429240746 b	429723142 	431190184 	432762039 	434416272.0 	435816236.0 	437227496.0 	438725386.0 b	440047892.0 	440660421.0 b	439942305 b	440552661 b	441257711 	442883888 b	443666812 b	444802830 	445534430 b	446208557 p	446446444 bep	447319916 ep	447007596 ep
A,NR,T,TOTAL,EU28	406731754 	: 	: 	: 	: 	424721157 	: 	: 	: 	: 	439872962 	441729180 	: 	: 	: 	452066347 	454258031 	456170597 	458087072 	459871204 	461751770 	463712611 	465218739 	466410886 	467368929 	468389143 	469495134 	470831973 	472079145 	473711655 	475187711 	476842235 be	477925130 e	479561788 e	480893003 e	481904006 e	482736385 e	483512803 e	485877558 be	486577954 e	487259080 be	488240527 b	488962706 	490691578 	492555798 	494598322.0 	496436597.0 	498300775.0 	500297033.0 b	502090235.0 	503170618.0 b	502964837 b	504047964 b	505163008 	507235091 b	508520205 b	510181874 	511378572 b	512482133 p	513093556 bep	: 	: 
A,NR,T,TOTAL,FI	4413046 	4446222 	4475787 	4507098 	4539519 	4557567 	4569896 	4591842 	4619645 	4633292 	4614277 	4598336 	4625912 	4653401 	4678761 	4702387 	4720492 	4730836 	4746967 	4758088 	4771292 	4787778 	4812150 	4841715 	4869858 	4893748 	4910664 	4925644 	4938602 	4954359 	4974383 	4998478 	5029002 	5054982 	5077912 	5098754 	5116826 	5132320 	5147349 	5159646 	5171302 	5181115 	5194901 	5206295 	5219732 	5236611.0 	5255580.0 	5276955.0 	5300484.0 	5326314.0 	5351427.0 	5375276 	5401267 	5426674 	5451270 	5471753 	5487308 	5503297 	5513130 	5517919 	5525292 	5533793 
A,NR,T,TOTAL,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	58313439 	58604851 	58885929 	59104320 	59315139 	59522297 	59726386 	59934884 	60158533 	60545022 	60979315 	61424036 	61864088 	62292241 	62772870.0 	63229635.0 	63645065.0 	64007193.0 	64350226.0 	64658856.0 	64978721 	65276983 b	65600350 	66165980 b	66458153 	66638391 	66809816 	67026224 p	67177636 p	67320216 p	67439599 p
A,NR,T,TOTAL,FX	45464797 	45903656 	46422000 	47573406 	48059029 	48561800 	48953792 	49373537 	49723072 	50107735 	50528219 	51016234 	51485953 	51915873 	52320725 	52600000 	52798338 	53019005 	53271566 	53481073 	53731387 	54028630 	54335000 	54649984 	54894854 	55157303 	55411238 	55681780 	55966142 	56269810 	56577000 	56840661 	57110533 	57369161 	57565008 	57752535 	57935959 	58116018 	58298962 	58496613 	58858198 	59266572 	59685899 	60101841 	60505421 	60963264.0 	61399733.0 	61795238.0 	62134866.0 	62465709.0 	62765235.0 	63070344 	63375971 	63697865 	: 	: 	: 	: 	: 	: 	: 	: 
A,NR,T,TOTAL,GE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4435200 e	4401400 e	4371500 e	4352600 e	4315200 e	4321500.0 e	4401292.0 	4394702.0 	4382070.0 	4385429.0 	4436391.0 	4469250 	4497617 	: 	4490498 	3729500 	3720400 	3718200 	3729633 	3723464 	3716858 	: 
